iter	Passed	Remaining
747	55827	317348
748	55889	317202
749	55969	317159
750	56036	317041
751	56102	316919
752	56162	316760
753	56230	316649
754	56299	316544
755	56386	316539
756	56440	316352
757	56523	316323
758	56618	316363
759	56684	316242
760	56767	316214
761	56874	316315
762	56945	316223
763	57030	316206
764	57102	316115
765	57174	316027
766	57269	316062
767	57327	315899
768	57405	315844
769	57490	315822
770	57552	315679
771	57613	315533
772	57677	315400
773	57745	315287
774	57829	315264
775	57893	315129
776	57969	315066
777	58039	314963
778	58134	314999
779	58219	314984
780	58286	314866
781	58366	314823
782	58433	314706
783	58508	314632
784	58586	314577
785	58669	314546
786	58767	314598
787	58838	314500
788	58912	314426
789	58985	314340
790	59078	314361
791	59151	314281
792	59225	314202
793	59307	314163
794	59393	314151
795	59469	314081
796	59538	313978
797	59618	313931
798	59710	313946
799	59791	313903
800	59865	313825
801	59941	313759
802	60023	313719
803	60113	313724
804	60181	313618
805	60247	313496
806	60317	313395
807	60385	313288
808	60447	313148
809	60514	313032
810	60611	313073
811	60681	312974
812	60769	312967
813	60858	312964
814	60955	313006
815	61031	312933
816	61113	312899
817	61184	312802
818	61262	312744
819	61325	312612
820	61396	312517
821	61471	312441
822	61562	312451
823	61630	312341
824	61691	312195
825	61755	312067
826	61833	312010
827	61913	311961
828	62020	312046
829	62119	312092
830	62201	312055
831	62285	312027
832	62374	312021
833	62441	311908
834	62534	311922
835	62600	311805
836	62671	311708
837	62748	311645
838	62812	311517
839	62890	311457
840	62962	311366
841	63059	311400
842	63128	311299
843	63195	311186
844	63281	311167
845	63361	311115
846	63444	311081
847	63513	310978
848	63593	310925
849	63666	310841
850	63758	310850
851	63847	310842
852	63949	310899
853	64031	310860
854	64123	310866
855	64186	310733
856	64256	310634
857	64354	310672
858	64453	310711
859	64531	310651
860	64597	310535
861	64665	310426
862	64743	310366
863	64824	310315
864	64893	310211
865	65091	310726
866	65157	310607
867	65223	310487
868	65295	310396
869	65365	310298
870	65446	310249
871	65536	310245
872	65602	310127
873	65682	310076
874	65761	310017
875	65828	309904
876	65905	309837
877	66012	309911
878	66078	309794
879	66151	309711
880	66211	309564
881	66293	309520
882	66379	309493
883	66471	309497
884	66542	309403
885	66602	309259
886	66680	309196
887	66757	309127
888	66851	309140
889	66932	309090
890	66989	308933
891	67059	308834
892	67128	308730
893	67210	308686
894	67291	308640
895	67370	308579
896	67429	308433
897	67500	308335
898	67569	308235
899	67629	308091
900	67704	308012
901	67813	308093
902	67887	308014
903	67993	308076
904	68073	308024
905	68156	307981
906	68232	307909
907	68310	307849
908	68389	307790
909	68453	307666
910	68541	307645
911	68609	307540
912	68688	307481
913	68764	307410
914	68853	307394
915	68923	307297
916	68985	307162
917	69046	307021
918	69126	306968
919	69219	306974
920	69315	306990
921	69399	306952
922	69479	306897
923	69566	306874
924	69639	306790
925	69714	306711
926	69788	306631
927	69870	306585
928	69944	306505
929	70002	306356
930	70069	306242
931	70146	306175
932	70217	306081
933	70290	305998
934	70351	305861
935	70416	305741
936	70480	305615
937	70577	305637
938	70645	305530
939	70719	305447
940	70807	305429
941	70871	305304
942	70950	305243
943	71026	305175
944	71097	305078
945	71179	305033
946	71254	304959
947	71336	304910
948	71424	304891
949	71498	304808
950	71584	304779
951	71683	304804
952	71776	304805
953	71852	304734
954	71932	304676
955	72016	304639
956	72124	304701
957	72226	304736
958	72326	304768
